date,O3,station,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,ws,wd,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
1973-09-27,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-09-28,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-09-29,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-09-30,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-10-01,0.059,MEM,80,66,70,60,0.41,6.516383,227.69534,53.95076,79.81233,96.92959,NA,NA,66,72.70819,83.22323,14,NA,NA,81.1,60.2,0.13
1973-10-02,0.068,MEM,86,63,69,60,0,4.695652,165.63033,52.47476,72.73293,90.38789,NA,NA,62.96,75.82438,88.780594,10,NA,NA,80.7,59.8,0.13
1973-10-03,0.053,MEM,87,69,73,67,0,5.478261,189.56705,51.23564,77.06111,96.968346,NA,NA,69.08,79.19995,90.71107,9,NA,NA,80.4,59.4,0.13
1973-10-04,0.053,MEM,88,68,73,66,0.36,6.7,214.03123,53.635777,81.835556,96.968346,NA,NA,68,77.317696,94.56306,20,48,NA,80,59,0.12
1973-10-05,0.028,MEM,76,64,67,58,0,8.202899,44.377804,64.06671,83.00932,96.92959,NA,NA,64.04,68.73565,75.92,12,NA,NA,79.6,58.6,0.12
1973-10-06,0.066,MEM,80,60,69,58,0,4.2608695,131.90453,64.26449,80.105316,93.19014,NA,NA,60.08,71.308044,82.36308,7,NA,NA,79.2,58.2,0.11
1973-10-07,0.063,MEM,81,68,71,67,0.25,8.141304,171.85732,71.918450000000007,88.01703,96.35828,NA,NA,68,73.94418,84.87999,15,24,NA,78.8,57.7,0.12
1973-10-08,0.057,MEM,83,65,72,64,0,6.134499,135.05858,62.533913,84.590256,96.90411,NA,NA,64.94,74.573265,86.98949,12,NA,NA,78.4,57.3,0.11
1973-10-17,0.016,MEM,69,48,44,34,0,6.521739,46.913654,31.917837,51.41464,76.80183,NA,NA,43.84696,56.53809,69.08,12,NA,NA,74.8,53.5,0.14
1973-10-18,0.047,MEM,75,44,52,41,0,2.4782608,249.99492,36.902893,65.31011,89.56219,NA,NA,43.504196,58.617355,73.9564,6,NA,NA,74.3,53.1,0.15
1973-10-19,0.067,MEM,78,50,54,47,0,2.1304348,25.42876,38.91222,67.47232,89.22145,NA,NA,49.26583,63.23268,78.08,5,NA,NA,73.9,52.7,0.15
1973-10-20,0.073,MEM,80,51,60,49,0,2.3913043,320.7133,48.479977,73.21114,92.92925,NA,NA,51.08,65.8168,80.72731,6,NA,NA,73.5,52.3,0.15
1973-10-21,0.058,MEM,79,54,57,47,0,4.173913,53.085106,33.336052,64.09692,86.57997,NA,NA,53.96,64.99478,78.98,7,NA,NA,73.1,51.9,0.14
1973-10-22,0.078,MEM,80,49,53,44,0,2.8695652,71.40239,28.001955,63.83319,89.73392,NA,NA,48.031193,63.52335,80.06,6,NA,NA,72.7,51.5,0.14
1973-10-23,0.063,MEM,82,51,59,48,0,3.6956522,206.01283,36.291275,66.37249,89.26152,NA,NA,51.08,65.77326,82.04,8,NA,NA,72.2,51.1,0.15
1973-10-24,0.06,MEM,82,54,61,52,0,5.3950853,181.33952,36.60034,67.026024,96.75694,NA,NA,53.96,68.110886,82.04,12,NA,NA,71.8,50.7,0.15
1973-10-26,0.028,MEM,81,58,66,57,0,2.6130435,193.9532,52.65545,78.00549,96.81093,NA,NA,57.9,69.09042,82.137535,7,NA,NA,70.9,49.9,0.13
