date,O3,station,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,ws,wd,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
2015-04-01,0.035,JAN,80,59,62.96,55.04,1e-4,6.12622,183.36589,44.9997,71.09711,93.134,NA,NA,59,69.90004,80.2385,9,18.2485,NA,73.3,49.8,0.21
2015-04-02,0.046,JAN,86,67,66.92,51.98,1e-4,9.820084,184.3466,34.3201,67.75099,93.3839,NA,NA,66.92,74.21224,84.02,19,26.069286,NA,73.5,50,0.21
2015-04-03,0.037,JAN,88,59,66.02,59,0.48,11.279637,208.82004,43.0701,68.697815,93.3546,NA,NA,60.98,76.16585,88.416,18,29.545193,NA,73.7,50.2,0.2
2015-04-04,0.038,JAN,69,50,59,33.08,1e-4,10.485355,5.3372664,27.2857,57.279778,93.1901,NA,NA,51.08,58.573723,69.08,18,27,NA,74,50.4,0.21
2015-04-05,0.032,JAN,65,46,53.96,35.06,0.08,5.25523,126.03873,37.7812,66.01621,86.58,NA,NA,43.0693,55.044670000000004,64.94,11,14.772596,NA,74.2,50.7,0.2
2015-04-06,0.03,JAN,80,56,71.06,53.96,0.33,7.076011,155.2194,66.5828,84.83997,93.518,NA,NA,57.02,68.192535,81.1383,15,20.85543,NA,74.4,50.9,0.21
2015-04-07,0.024,JAN,80,67,68,64.94,1e-4,7.816597,175.81575,62.1581,81.971344,93.969,NA,NA,66.92,73.35336,81.1383,11,15.641572,NA,74.6,51.1,0.2
2015-04-08,0.036,JAN,87,62,68,59,0,7.4198046,185.8849,40.1371,71.76083,100,NA,NA,62.96,75.73599,86.8659,13,20.85543,NA,74.8,51.3,0.22
2015-04-09,0.036,JAN,86,70,69.8,62.96,0,10.856346,175.7549,47.8155,73.975845,90.062,NA,NA,69.98,77.38965,85.8331,16,24.331335,NA,75.1,51.6,0.21
2015-04-10,0.024,JAN,74,57,69.98,53.96,0.17,6.0111575,293.28516,69.7242,85.26218,93.4896,NA,NA,57.02,67.53629,75.0196,10,16.51055,NA,75.3,51.8,0.22
2015-04-11,0.045,JAN,80,51,53.96,42.98,0,5.1882844,46.478485,28.6751,61.116405,92.9293,NA,NA,51.08,64.917725,80.06,10,16.51055,NA,75.5,52.1,0.21
2015-04-12,0.033,JAN,80,57,66.92,44.96,0.01,4.6018133,136.46098,51.7718,73.40215,89.9831,NA,NA,57.02,67.51953,80.8155,10,21.724405,NA,75.7,52.3,0.21
2015-04-13,0.023,JAN,78,68,69.98,64.4,0.42,6.8319387,151.44063,76.569,89.19581,96.3583,NA,NA,68,71.47309,77,11,27,NA,75.9,52.5,0.21
2015-04-14,0.031,JAN,74,65,69.08,62.6,0.01,5.368201,176.62065,78.5658,88.66508,96.342,NA,NA,64.94,70.225235,74.1521,10,14.772596,NA,76.2,52.8,0.22
2015-04-15,0.044,JAN,81,65,66.92,62.06,0.31,5.492329,175.90463,57.9938,79.00478,96.9041,NA,NA,64.4,71.47393,80.6766,11,21,NA,76.4,53,0.21
2015-04-16,0.023,JAN,77,64,69.98,62.96,0.36,4.6443515,167.43289,79.3669,89.24147,96.9296,NA,NA,64.94,70.39618,76.9422,17,26.069286,NA,76.6,53.3,0.2
2015-04-17,0.037,JAN,80,63,68,62.06,0.02,4.251046,89.3587,59.9796,83.78356,96.9041,NA,NA,62.96,70.00084,78.08,14,19.117477,NA,76.8,53.6,0.2
2015-04-18,0.026,JAN,72,65,66.92,62.06,0.91,5.639333,106.793686,76.1334,87.2854,96.342,NA,NA,64.94,68.056915,71.96,9,14.772596,NA,77,53.8,0.2
