date,O3,station,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,ws,wd,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
2013-07-01,0.042,JAN,86,64,64.94,62.06,0.02,3.9330544,325.2783,44.748,68.34047,93.33006,NA,NA,64.04,75.923035,86.5078,10,19.117477,NA,91.4,71.5,0.16
2013-07-02,0.057,JAN,87.1,64.4,64.94,57,0.01,2.8870292,12.045895,40.137066,63.440937,93.33006,NA,NA,64.94,76.26566,85.80605,7,13.034643,NA,91.5,71.6,0.15
2013-07-03,0.053,JAN,90,63,66.2,60.08,0.02,3.4309623,43.07891,40.3023,66.06004,93.275604,NA,NA,64.04,77.07629,87.99493,9,17.379524,NA,91.5,71.7,0.16
2013-07-04,0.042,JAN,90,68,70,64.4,0.03,4.1875873,26.870508,44.921947,74.5825,96.3583,NA,NA,69.08,79.18212,90.94543,10,14.772596,NA,91.6,71.8,0.16
2013-07-05,0.028,JAN,84.2,70,73.4,66.2,0.03,3.5885634,105.44736,64.26449,83.99345,96.99304,NA,NA,72.098915,78.35625,89.005684,9,17.379524,NA,91.6,71.8,0.16
2013-07-06,0.025,JAN,87.1,69,72,66.2,0.01,4.8500695,108.93682,58.910583,80.85863,96.968346,NA,NA,69.08,78.6771,90.71107,11,20,NA,91.7,71.9,0.16
2013-07-07,0.036,JAN,91.4,73,75.2,69.8,0.01,3.623431,150.42578,52.1115,77.78788,94.10022,NA,NA,74.43935,82.621506,97.68257,10,18.2485,NA,91.7,72,0.16
2013-07-08,0.036,JAN,93.2,72,73.4,68,0.01,3.5362623,210.59868,44.1222,72.598816,94.14301,NA,NA,73,85.01907,97.45191,8,12.165668,NA,91.8,72,0.16
2013-07-09,0.036,JAN,94,72,75.2,71.06,0.02,4.373082,222.97977,47.6426,73.2233,93.54147,NA,NA,74.43935,87.05802,101.2331,13,21.724405,NA,91.8,72.1,0.16
2013-07-10,0.035,JAN,94,73.9,75.2,69.8,0.01,4.6736403,244.69286,47.6426,71.16846,93.56953,NA,NA,76.462204,89.1232,102.14967,9,17.379524,NA,91.9,72.1,0.16
2013-07-11,0.034,JAN,82,70,75.92,69.08,0.94,4.304742,186.36322,74.0652,87.41977,94.14301,NA,NA,72.258896,78.64828,84.58517,16,33.0211,NA,91.9,72.2,0.15
2013-07-12,0.055,JAN,92,69,73.4,66,0,4.039749,350.84738,42.6119,74.627235,100,NA,NA,71.06,81.2837,94.78182,10,17.379524,NA,92,72.2,0.16
2013-07-13,0.054,JAN,88,66.9,66.92,60.8,0.03,3.8493724,8.342887,40.439606,65.12177,90.0191,NA,NA,68,78.57927,88.431366,10,13.90362,NA,92,72.2,0.17
2013-07-14,0.043,JAN,89.1,69,72,66,0.13,3.7873082,115.68769,55.312664,79.25008,96.3879,NA,NA,69.08,78.63187,93.06653,8,20.85543,NA,92,72.3,0.16
2013-07-15,0.038,JAN,90,69.8,73.4,68,0.01,4.2217574,108.4075,53.45501,77.38612,94.10022,NA,NA,69.98,82.27229,94.35011,9,19.986454,NA,92.1,72.3,0.16
2013-07-16,0.024,JAN,89.6,71.6,72,69.08,0.02,4.9253836,86.44336,53.45501,75.16488,94.10022,NA,NA,72.88068,83.20148,95.26232,10,18.2485,NA,92.1,72.3,0.16
2013-07-17,0.03,JAN,94,71,73.4,69.08,0.01,3.1799164,81.04264,45.7897,70.72427,93.51795,NA,NA,74.28058,86.102486,98.32616,7,13.90362,NA,92.2,72.4,0.16
2013-07-18,0.036,JAN,90,70,73.4,69.8,0.73,2.746862,233.39265,59.049355,85.637375,100,NA,NA,72.39623,78.600105,94.726944,9,25.200312,NA,92.2,72.4,0.17
2013-07-19,0.057,JAN,91,70,75.2,69.8,0.01,0.8026499,210.69278,53.45501,82.50763,100,NA,NA,69.8,81.49177,94.35011,4,13.034643,NA,92.3,72.4,0.16
2013-07-20,0.045,JAN,92,70,72,68,0.01,3.0313807,171.62672,48.55045,74.1813,96.3879,NA,NA,72.39623,83.16261,96.71592,10,17.379524,NA,92.3,72.4,0.17
2013-07-21,0.032,JAN,92,71,73.94,68,0.03,6.506276,198.65193,51.96061,75.24769,93.48956,NA,NA,72.258896,82.89884,95.42277,16,23,NA,92.3,72.4,0.16
2013-07-22,0.026,JAN,92,73.4,75.2,71.06,0.01,7.3291492,222.1142,53.9078,75.97527,94.10022,NA,NA,74.86271,85.009186,99.66314,12,19.117477,NA,92.4,72.4,0.16
2013-07-23,0.022,JAN,93,75.2,75.2,69.8,0.01,6.9930267,231.53023,50.6661,71.8397,94.18534,NA,NA,76.84472,88.68577,99.67043,12,19.986454,NA,92.4,72.4,0.18
2013-07-24,0.027,JAN,84.2,72,75.2,66.2,0.04,3.7963738,251.06447,67.14597,81.09574,97.016945,NA,NA,73.9,81.59607,90.40201,7,13.90362,NA,92.4,72.4,0.17
2013-07-25,0.051,JAN,91,69,73.4,60.8,0,3.852859,344.10083,40.604,73.6015,100,NA,NA,69.8,79.99132,93.0665,10,14.772596,NA,92.5,72.4,0.17
2013-07-26,0.049,JAN,89.1,64,71.6,62.06,0,2.133891,286.23596,42.0151,70.51415,93.383865,NA,NA,64.04,79.523155,89.95105,6,13.034643,NA,92.5,72.4,0.16
2013-07-27,0.025,JAN,81,71,73.94,68,0.85,3.6262205,72.56459,74.1149,87.02162,100,NA,NA,72.258896,77.20102,85.324425,9,13.034643,NA,92.5,72.4,0.16
2013-07-28,0.033,JAN,91,71,75.2,69.08,1e-4,2.4944212,9.410502,51.83444,78.56882,100,NA,NA,72.39623,82.23441,93.64356,8,13.90362,NA,92.6,72.4,0.17
2013-07-29,0.042,JAN,93,71.6,73.4,66.2,0.01,2.3012552,101.8062,43.96167,70.55523,93.51795,NA,NA,72,85.24177,95.96672,6,10.427715,NA,92.6,72.4,0.16
2013-07-30,0.039,JAN,96.1,75,77,69.08,0.02,2.3179917,205.29056,44.41525,71.45163,90.80131,NA,NA,76.462204,89.56754,101.53531,6,10.427715,NA,92.6,72.4,0.16
2013-07-31,0.039,JAN,94,77,75.2,64,0.04,3.1799164,260.36325,39.76362,67.37456,90.3345,NA,NA,78.1,87.72568,96.361496,9,13.90362,NA,92.6,72.4,0.16
2013-08-01,0.044,JAN,96,75,73.94,71.06,0.02,3.8075314,346.6524,47.6426,68.5602,90.2933,NA,NA,77.3268,90.33318,106.092,10,17.379524,NA,92.7,72.4,0.17
2013-08-02,0.049,JAN,96,73,75.02,69.98,0.01,2.3849373,158.92674,45.9217,69.36684,90.7287,NA,NA,75.2982,89.134995,102.578,7,10.427715,NA,92.7,72.3,0.16
2013-08-03,0.049,JAN,95,76,75.02,71.96,0.02,3.5439332,251.95215,49.1197,72.611755,90.8013,NA,NA,77.4797,90.11659,102.15,10,18.2485,NA,92.7,72.3,0.17
2013-08-04,0.046,JAN,98,74,75.02,71.06,0.02,3.0962343,329.50653,45.9563,74.40604,93.6205,NA,NA,76.6198,89.74126,104.877,10,19.986454,NA,92.7,72.3,0.16
2013-08-05,0.044,JAN,96,76,77,71.06,0.2,3.2740586,187.76022,46.9322,76.581406,94.2272,NA,NA,76.8447,89.27016,103.13,10,20.85543,NA,92.7,72.3,0.16
