date,O3,station,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,ws,wd,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
1992-08-14,0.059,GPT,88,73,79,72,0,3.9130435,335.09442,59.164536,84.934074,100,NA,NA,74.4052,84.79078,100.19042,10,20,NA,90.9,74.9,0.2
1992-08-15,0.057,GPT,90,70,72,62,0,7.0869565,7.7292314,40.740665,71.05998,96.97961,NA,NA,69.98,80.47935,93.363434,10,NA,NA,90.9,74.8,0.22
1992-08-16,0.057,GPT,85,67,68,62,0,5.2173915,354.67044,49.06204,66.5059,89.895935,NA,NA,66.92,77.14839,86.192505,8,NA,NA,90.8,74.8,0.21
1992-08-17,0.066,GPT,89,65,73,60,0,4.130435,34.070602,42.151253,67.884796,93.325134,NA,NA,64.94,78.762726,89.79901,10,NA,NA,90.8,74.7,0.22
1992-08-18,0.034,GPT,87,70,75,62,0,6.2608695,87.75303,58.910583,71.86344,93.43703,NA,NA,69.98,83.68637,94.160355,9,NA,NA,90.8,74.7,0.22
1992-08-19,0.037,GPT,84,74,75,69,0,3.652174,36.832188,71.67582,85.15358,96.43037,NA,NA,75.2722,79.24285,91.569374,10,NA,NA,90.7,74.6,0.22
1992-08-20,0.055,GPT,84,69,73,68,0,3.826087,227.43495,60.848827,80.990685,100,NA,NA,68.9,80.108765,88.717865,10,NA,NA,90.7,74.5,0.22
1992-08-21,0.039,GPT,86,72,73,67,0,3.0453687,143.9254,56.837738,77.40949,100,NA,NA,73.556,82.88254,92.97162,8,NA,NA,90.6,74.5,0.23
1992-08-22,0.036,GPT,86,73,74,70,0,3.2173913,124.737564,58.910583,80.47962,100,NA,NA,74.546,83.16528,91.51447,8,NA,NA,90.6,74.4,0.23
1992-08-23,0.033,GPT,88,72,76,71,0,4.173913,139.54466,57.035355,77.14664,100,NA,NA,73.3869,85.83305,94.726944,8,NA,NA,90.5,74.3,0.24
1992-08-24,0.03,GPT,91,75,78,72,0,5.3913045,91.06694,59.530342,77.872604,100,NA,NA,76.5843,90.33831,103.05127,10,NA,NA,90.5,74.2,0.22
1992-08-26,0.033,GPT,89,84,78,76,0,14.26087,144.699,68.082214,76.62785,79.96121,NA,NA,92.51257,95.35587,101.5081,20,31,NA,90.3,74.1,0.2
1992-08-27,0.058,GPT,92,77,79,68,0,12.086957,219.50175,45.630867,70.83561,97.08887,NA,NA,78.2268,91.0619,99.67043,19,25,NA,90.2,74,0.2
