date,O3,station,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,ws,wd,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
2005-06-01,0.032,GPT,82.9,69.8,71.6,66.2,0,3.661549,302.15118,67.219124,83.17877,100,NA,NA,69.8,75.9511,84.10166,10,NA,NA,87.1,70.8,0.2
2005-06-02,0.05,GPT,86,69.1,72,68,0,2.978367,188.76247,60.8714,78.66893,96.968346,NA,NA,69.98,80.56972,90.15505,7,NA,NA,87.2,71,0.2
2005-06-03,0.048,GPT,87.1,71.6,74,68,0,4.3126307,165.75095,55.044296,76.25027,100,NA,NA,71.6,84.376274,91.50387,9,NA,NA,87.4,71.3,0.2
2005-06-04,0.035,GPT,88,73,75.2,69,0,5.0272155,156.59691,57.1246,73.91911,93.54147,NA,NA,75.29825,86.47039,95.001495,11,16,NA,87.5,71.5,0.2
2005-06-05,0.023,GPT,87.8,80,76,73,0,7.3942776,144.72546,63.142265,74.82293,82.18847,NA,NA,84.5852,89.28309,94.56306,12,17,NA,87.7,71.7,0.21
2005-06-06,0.018,GPT,84.9,69.8,76,68,0.61,3.0446615,14.335231,74.2799,88.24519,100,NA,NA,69.8,79.09196,89.47595,11,20,NA,87.8,71.9,0.21
2005-06-07,0.042,GPT,88,71,75.2,66.2,0,4.0404744,161.32626,51.23564,77.22316,93.48956,NA,NA,72.258896,83.202934,92.838356,9,NA,NA,88,72.1,0.21
2005-06-08,0.057,GPT,89.1,71.1,73.4,69,0,3.2658758,190.78375,55.1909,76.25398,93.56953,NA,NA,73.25001,82.33429,94.726944,11,18,NA,88.1,72.3,0.21
2005-06-09,0.032,GPT,88,71,73.4,69,0,4.812282,139.60101,59.049355,73.98056,93.48956,NA,NA,72.258896,85.1664,93.59172,11,NA,NA,88.2,72.5,0.22
2005-06-10,0.029,GPT,84.9,73.4,74,69,0.25,7.439637,79.99942,65.0019,80.44767,94.14301,NA,NA,73.4,81.22275,88.14013,21,29,NA,88.3,72.7,0.22
2005-06-11,0.022,GPT,79,73,70,66.2,0.01,11.1472435,343.2282,73.6111,79.18154,87.45151,NA,NA,73.04,76.35842,80.2623,19,26,NA,88.4,72.8,0.23
2005-06-12,0.044,GPT,85,66.2,75.2,66,0,3.4187021,170.01353,60.7359,76.27853,96.92959,NA,NA,66.92,81.37495,90.81524,8,NA,NA,88.5,73,0.23
2005-06-13,0.025,GPT,88,73.9,76,73,0,5.171668,157.69162,67.48165,78.92032,94.14301,NA,NA,75.2,88.8765,96.551025,10,NA,NA,88.6,73.1,0.23
2005-06-14,0.028,GPT,90,75,77,71,0,3.8541522,198.74599,53.9078,75.71966,97.041534,NA,NA,77.61086,90.66079,100.503174,10,NA,NA,88.7,73.3,0.23
2005-06-15,0.048,GPT,95,75.9,76,69,0,3.6427076,235.81364,44.5296,70.20242,93.6205,NA,NA,78.64378,92.50612,104.55464,8,15,NA,88.8,73.4,0.24
2005-06-16,0.065,GPT,96.1,75.2,73.4,59,0,4.4382415,340.7494,30.261078,59.47325,84.5256,NA,NA,77.05887,86.85517,95,9,14,NA,88.9,73.6,0.25
2005-06-17,0.06,GPT,91,73,73.4,66,0.01,3.4752269,17.574194,51.23564,75.47359,93.56953,NA,NA,74.43935,82.03072,98.29539,16,27,NA,89,73.7,0.26
2005-06-18,0.05,GPT,86,71.1,73.4,64.4,0.06,4.600837,6.5536127,60.8714,76.915405,93.48956,NA,NA,73.04,80.51147,90.81524,9,NA,NA,89.1,73.8,0.24
2005-06-19,0.068,GPT,90,64,64.4,57.2,0,4.1304955,18.258312,35.03671,59.487556,90.38789,NA,NA,64.94,79.31847,88.41602,10,NA,NA,89.1,73.9,0.24
2005-06-20,0.073,GPT,89.1,68,70,62,0,4.591068,102.58241,44.748,65.37292,83.9813,NA,NA,69.08,80.59485,89.95105,10,NA,NA,89.2,74,0.26
2005-06-21,0.056,GPT,88,73,71.6,66,0,4.6057224,122.96042,51.23564,69.82387,87.5043,NA,NA,73.04,82.331474,91.63235,10,NA,NA,89.3,74.1,0.25
2005-06-22,0.071,GPT,91,69.8,70,64,0,3.2930915,142.93532,42.314247,70.19724,93.48956,NA,NA,69.98,82.248024,92.388275,9,NA,NA,89.3,74.2,0.25
2005-06-23,0.066,GPT,91.9,69.8,71.6,64.4,0,2.9309142,137.50168,43.666103,68.2345,93.43703,NA,NA,69.98,83.05332,93.76405,9,16,NA,89.4,74.2,0.25
2005-06-24,0.081,GPT,91.9,71.1,72,66.2,0,3.1402652,44.063286,45.215836,71.58401,90.65528,NA,NA,73.1168,82.15912,96.079506,12,14,NA,89.4,74.3,0.24
2005-06-25,0.073,GPT,92,70,71.6,62.6,0,3.795534,49.559475,39.383106,66.44777,90.65528,NA,NA,71.06,83.48463,94.7818,10,NA,NA,89.5,74.4,0.23
2005-06-26,0.069,GPT,91.9,72,70,62,0,5.1723657,78.48808,39.4689,63.082478,84.34357,NA,NA,73.04,81.53613,89.96,10,NA,NA,89.6,74.4,0.23
2005-06-27,0.053,GPT,90,70,73.4,69,0,3.307746,142.55402,53.6358,73.91654,93.48956,NA,NA,72.258896,83.09265,92.838356,9,NA,NA,89.6,74.5,0.24
2005-06-28,0.028,GPT,89.1,73.4,74,69,0,6.7976274,119.659645,57.1246,74.78612,93.54147,NA,NA,75.43045,85.10069,95.73865,16,17,NA,89.7,74.5,0.24
