Run_Date,Target_Date,Observed_O3,RF_Pred,AQM_06_Reg,AQM_06_BC,AQM_12_Reg,AQM_12_BC,Met_Temp_F,Met_Dewp_F,Met_WS_kts,Met_WD_deg,Forecast_Type
2026-08-17,2026-08-18,NA,0.0395,0.0483,0.0466,0.0475,0.0431,102,71,4.7,257,operational
2026-08-16,2026-08-17,NA,0.0363,0.0468,0.044,0.047,0.0454,101,72,3.5,239,operational
2026-08-15,2026-08-16,0.034,0.0345,0.0414,0.0343,0.0445,0.0387,102,71,3.8,257,hindcast
2026-08-14,2026-08-15,0.036,0.0355,0.0378,0.0296,0.0384,0.0314,99,70,2.6,249,hindcast
2026-08-13,2026-08-14,0.026,0.0304,0.0368,0.0272,0.035,0.0263,100,64,3.2,249,hindcast
2026-08-12,2026-08-13,0.024,0.0272,0.0332,0.0262,0.034,0.0263,98,73,4.8,231,hindcast
2026-08-11,2026-08-12,0.026,0.0271,0.0395,0.0307,0.0387,0.0291,98,73,4.6,230,hindcast
2026-08-10,2026-08-11,0.025,0.0296,0.0359,0.0259,0.032,0.0218,95,72,4.5,224,hindcast
2026-08-09,2026-08-10,0.041,0.0385,0.0443,0.0373,0.045,0.0374,96,73,4.4,169,hindcast
2026-08-08,2026-08-09,0.044,0.0418,0.0457,0.0376,0.0449,0.0361,95,71,2.3,144,hindcast
2026-08-07,2026-08-08,0.043,0.038,0.0464,0.0407,0.0512,0.0471,93,73,3.4,175,hindcast
2026-08-06,2026-08-07,0.038,0.0371,0.0566,0.056,0.0562,0.0543,92,72,2.7,152,hindcast
2026-08-05,2026-08-06,0.036,0.0405,0.0469,0.0446,0.0435,0.0394,92,68,2.9,170,hindcast
2026-08-04,2026-08-05,0.047,0.048,0.0473,0.0398,0.0483,0.0406,96,62,2.8,354,hindcast
2026-08-03,2026-08-04,0.047,0.0471,0.0483,0.0425,0.0491,0.0432,94,62,1.9,347,hindcast
2026-08-02,2026-08-03,0.044,0.0414,0.04879984664916992,0.04350671005249023,0.04774906158447265,0.04285124588012695,90,67,3.4,360,hindcast
2026-08-01,2026-08-02,0.037,0.0377,0.04697647476196289,0.04122220993041992,0.04579091644287109,0.04355425262451172,83,67,4,319,hindcast
2026-07-31,2026-08-01,0.039,0.0349,0.04381451797485351,0.03722862243652344,0.04613110733032227,0.04208770370483399,98,73,9.2,236,hindcast
2026-07-30,2026-07-31,0.035,0.0352,0.04355078125,0.03548467254638671,0.04337239456176758,0.03632514190673828,97,75,4.8,221,hindcast
2026-07-29,2026-07-30,0.038,0.0371,0.04565979385375977,0.03494592666625976,0.05184488677978515,0.0390184097290039,96,76,4.4,265,hindcast
2026-07-28,2026-07-29,0.039,0.0376,0.04340141677856445,0.03398064041137695,0.04259165954589843,0.03323550796508789,99,75,3.5,263,hindcast
2026-07-27,2026-07-28,0.036,0.0358,0.04715315246582031,0.03875232315063477,0.04446268463134766,0.03647401428222656,98,73,3.3,282,hindcast
2026-07-26,2026-07-27,0.036,0.0355,0.04598335647583008,0.03946852874755859,0.04432542037963867,0.03533279800415039,98,73,3.4,267,NA
2026-07-25,2026-07-26,0.033,0.0315,0.04501242446899414,0.03947591781616211,0.04274403381347656,0.03490232467651367,98,72,4.4,259,NA
2026-07-24,2026-07-25,0.026,0.0266,0.03870174026489258,0.03022643852233886,0.04118529510498046,0.03311795425415039,95,73,5.4,235,NA
2026-07-23,2026-07-24,0.021,0.0255,0.03390749740600586,0.02298614501953125,0.03598339080810547,0.02521895790100097,95,72,4.5,228,NA
2026-07-22,2026-07-23,0.034,0.0327,0.04040343856811523,0.032955322265625,0.04092911529541016,0.03460440063476562,93,76,5.6,126,NA
2026-07-21,2026-07-22,0.033,0.0331,0.03853462600708007,0.0349340705871582,0.03820001220703125,0.03148308753967285,95,74,6.5,67,NA
2026-07-20,2026-07-21,0.038,0.0373,0.04050028991699218,0.03262681579589844,0.04006562805175781,0.03199916076660156,98,77,3.4,49,NA
2026-07-19,2026-07-20,0.033,0.0337,0.03909799194335937,0.02944758033752441,0.04042244720458984,0.03055631256103515,97,74,2.6,349,NA
2026-07-18,2026-07-19,0.029,0.0313,0.03858486557006836,0.02944437217712402,0.03806665802001953,0.02831445503234863,96,72,2.7,326,NA
2026-07-17,2026-07-18,0.026,0.0275,0.03778113555908203,0.02841846656799316,0.03883703994750977,0.03043728446960449,96,73,2.8,322,NA
2026-07-16,2026-07-17,0.022,0.0276,0.03780242156982422,0.02838961410522461,0.03808263778686523,0.02827199554443359,95,71,2.8,313,NA
2026-07-15,2026-07-16,0.027,0.0302,0.03903810882568359,0.02910620689392089,0.03911476516723632,0.02873227310180664,93,72,3.5,252,NA
2026-07-14,2026-07-15,0.032,0.0308,0.04863234710693359,0.04541140365600586,0.0396914176940918,0.03119800186157226,90,74,5.5,249,NA
2026-07-13,2026-07-14,0.028,0.0292,0.04587884902954101,0.03726595306396484,0.04633404541015625,0.03877321624755859,87,73.4,4.8,243,NA
2026-07-12,2026-07-13,0.033,0.0307,0.04329355621337891,0.03771997833251953,0.0414682388305664,0.03371086883544922,89,72,4.1,240,NA
2026-07-11,2026-07-12,0.026,0.0268,0.03772250366210937,0.03344400787353516,0.035634033203125,0.02995233726501464,92,73,5.2,208,NA
2026-07-10,2026-07-11,0.024,0.0243,0.0368672981262207,0.03116908073425293,0.03579974365234375,0.02765945434570312,95,72,5,212,NA
2026-07-09,2026-07-10,0.018,0.024,0.03259795761108398,0.02778841972351074,0.03424908447265625,0.02779730606079101,95,74,6.1,213,NA
2026-07-08,2026-07-09,0.034,0.0339,0.04246298599243164,0.03420973587036133,0.04370086669921875,0.03966574096679688,95,73,5.5,217,NA
2026-07-07,2026-07-08,0.043,0.0407,0.04827997207641602,0.03962005233764648,0.04637800216674805,0.03997548294067383,93,73,3.2,238,NA
2026-07-06,2026-07-07,0.053,0.0378,0.05421689224243164,0.04700910568237305,0.05281953430175781,0.04340890121459961,91,70,3.7,269,NA
2026-07-05,2026-07-06,0.045,0.0416,0.04845602416992187,0.04396261215209961,0.04907203674316406,0.03800897216796875,93,73,3.8,248,NA
2026-07-04,2026-07-05,0.042,0.0393,0.04434409713745117,0.03505631256103515,0.04907724380493164,0.03887682723999023,92,72,2.8,262,NA
2026-07-03,2026-07-04,0.035,0.0387,0.0488004150390625,0.04118976974487304,0.04700363159179687,0.03682321166992187,94,71,3.4,10,NA
2026-07-02,2026-07-03,0.041,0.0402,0.04511305618286133,0.03341981124877929,0.05051011657714844,0.03745108032226562,94,73,2.3,18,NA
2026-07-01,2026-07-02,0.044,0.0396,0.04547745132446289,0.03472117233276367,0.0484352912902832,0.03894042205810547,94,71,2.1,81,NA
2026-06-30,2026-07-01,0.032,0.0351,0.04702833938598633,0.03685972213745117,0.0455469856262207,0.03713896942138672,95,75,3.1,20,NA
2026-06-29,2026-06-30,0.042,0.036,0.04771802520751953,0.03782382202148438,0.04785536956787109,0.04035301971435547,94,74,1.9,57,NA
2026-06-28,2026-06-29,0.027,0.0266,0.0416897964477539,0.03005525970458984,0.04172784423828125,0.03163975715637207,93,73,2.7,197,NA
2026-06-27,2026-06-28,0.018,0.0197,0.03202093887329101,0.02226253128051757,0.03204042816162109,0.02179823493957519,92,74,6.3,198,NA
2026-06-26,2026-06-27,0.02,0.0211,0.03073591613769531,0.01831758499145508,0.03138067626953125,0.01847577095031738,92,74,7.4,196,NA
2026-06-25,2026-06-26,0.022,0.0251,0.02875039482116699,0.0182394847869873,0.02915492057800293,0.01995653343200683,91,71,6.3,194,NA
2026-06-24,2026-06-25,0.028,0.0307,0.0443539810180664,0.03565688323974609,0.04446086502075195,0.03651093292236328,88,70,2.9,164,NA
2026-06-23,2026-06-24,0.033,0.0334,0.04758527755737304,0.03586758041381836,0.04506256484985351,0.03215214157104492,79,72,3.4,243,NA
2026-06-22,2026-06-23,0.039,0.0332,0.04804698181152343,0.0345623664855957,0.04821405410766601,0.03806350326538086,89,71.6,4.4,328,NA
2026-06-21,2026-06-22,0.024,0.0252,0.02951386070251465,0.01933873176574707,0.02850058174133301,0.0153663854598999,89,71,6,211,NA
2026-06-20,2026-06-21,0.024,0.0286,0.03971493911743164,0.02453594589233398,0.03443894958496094,0.01796422958374023,88,69,4.2,188,NA
2026-06-19,2026-06-20,0.039,0.0301,0.03641497802734375,0.02367751884460449,0.0430131492614746,0.0327656135559082,81,71,3.3,81,NA
2026-06-18,2026-06-19,0.021,0.0238,0.04128804016113281,0.02428732681274414,0.0437631721496582,0.02758982467651367,86,73,4.8,199,NA
