Run_Date,Target_Date,Observed_O3,RF_Pred,AQM_06_Reg,AQM_06_BC,AQM_12_Reg,AQM_12_BC,Met_Temp_F,Met_Dewp_F,Met_WS_kts,Met_WD_deg,Forecast_Type
2026-09-04,2026-09-05,NA,0.0273,0.0517,0.0422,0.0418,0.0319,89,74,2.5,152,operational
2026-09-03,2026-09-04,NA,0.0365,0.0483,0.0367,0.0461,0.0368,89,74,2.5,95,operational
2026-09-02,2026-09-03,0.042,0.0326,0.0544,0.046,0.0507,0.0434,92,74,3,71,operational
2026-09-01,2026-09-02,0.033,0.0332,0.0439,0.0359,0.0435,0.0375,91,75,2.9,98,operational
2026-08-31,2026-09-01,0.033,0.031,0.0445,0.0352,0.0435,0.0373,90,75,5,105,operational
2026-08-30,2026-08-31,0.034,0.0308,0.0346,0.0303,0.0365,0.0339,88,74,7.3,107,operational
2026-08-29,2026-08-30,0.035,0.038,0.0528,0.0499,0.0489,0.0486,89,74,7.6,85,operational
2026-08-28,2026-08-29,0.05,0.0386,0.0555,0.0546,0.0519,0.0503,91,73,2.9,68,operational
2026-08-27,2026-08-28,0.048,0.0427,0.0501,0.0427,0.0485,0.0408,89,72,1.9,152,operational
2026-08-26,2026-08-27,0.044,0.0467,0.0436,0.0321,0.0447,0.0338,90,75,2.4,264,operational
2026-08-25,2026-08-26,0.049,0.0432,0.0506,0.0394,0.0511,0.0422,93,75,3.1,249,operational
2026-08-24,2026-08-25,0.038,0.0358,0.0441,0.0413,0.0461,0.0398,90,75,2.8,271,operational
2026-08-23,2026-08-24,0.042,0.041,0.0528,0.047,0.0536,0.0452,94,75,3.3,239,operational
2026-08-22,2026-08-23,0.054,0.0371,0.0543,0.0441,0.0536,0.0422,96,76,3,189,operational
2026-08-21,2026-08-22,0.05,0.0361,0.051,0.0395,0.0521,0.0409,96,75,3.6,246,operational
2026-08-20,2026-08-21,0.04,0.0389,0.0489,0.0359,0.0493,0.0375,94,70,4,288,hindcast
